facility_name,ward_name,address,lng,lat,recept_as,ages,reception,workday,remark
ささき医院,大阪府高槻市,大阪府高槻市岡本町65-6,135.593399,34.855221,かかりつけ,,072-692-9106,電話,阿武野方面
しもでら小児科クリニック,大阪府高槻市,大阪府高槻市上土室3-2-11,135.580353,34.854,一般,,072-697-5577,電話,阿武野方面
内科・循環器内科　たにがわクリニック,大阪府高槻市,大阪府高槻市上土室4-5-16 1F,135.57811,34.854084,かかりつけ優先,16歳以上,072-694-7777,電話,阿武野方面
上島内科医院,大阪府高槻市,大阪府高槻市上土室5-20-10,135.579651,34.852413,一般,15歳以上,072-693-5335,ＨＰ,阿武野方面
高槻赤十字病院,大阪府高槻市,大阪府高槻市阿武野1-1-1,135.577515,34.856239,一般,,072-696-0571,市で,阿武野方面
阿武山こどもクリニック,大阪府高槻市,大阪府高槻市奈佐原2-3-22,135.578827,34.862469,一般,,072-690-3225,電話,阿武野方面
おかもと整形外科,大阪府高槻市,大阪府高槻市奈佐原2-11-21 1F,135.580154,34.860306,かかりつけ優先,,072-695-1212,来院,阿武野方面
坂中内科クリニック,大阪府高槻市,大阪府高槻市奈佐原2-11-21 2F,135.580154,34.860306,かかりつけ優先,19歳以上,072-690-0296,電話,阿武野方面
新阿武山病院,大阪府高槻市,大阪府高槻市奈佐原4-10-1,135.575027,34.865761,かかりつけ,,072-693-1881,来院,阿武野方面
近藤診療所,大阪府高槻市,大阪府高槻市南平台2-14-2,135.588562,34.85989,かかりつけ,,072-694-4060,ＨＰ,阿武野方面
冨永クリニック,大阪府高槻市,大阪府高槻市南平台3-29-18 1F,135.587158,34.855721,一般,16歳（高校生）以上,072-690-3355,電話・来院,阿武野方面
南平台かどたクリニック,大阪府高槻市,大阪府高槻市南平台4-14-32,135.586105,34.860523,かかりつけ優先,,072-697-2001,電話,阿武野方面
なりきよ医院,大阪府高槻市,大阪府高槻市富田町1-11-8,135.592972,34.836281,かかりつけ,,072-696-9221,ＨＰ,富田・如是・三箇牧方面
井上クリニック,大阪府高槻市,大阪府高槻市富田町1-12-3 2F,135.59343,34.836288,一般,,072-690-3315,ＨＰ,富田・如是・三箇牧方面
おおにしクリニック,大阪府高槻市,大阪府高槻市富田町1-18-14 1F,135.591553,34.83469,一般,,080-6203-4017,電話,富田・如是・三箇牧方面
なかじま整形外科,大阪府高槻市,大阪府高槻市富田町3ｰ1-10,135.594315,34.835835,一般,,072-690-3230,ＨＰ・来院,富田・如是・三箇牧方面
摂津診療所,大阪府高槻市,大阪府高槻市富田町3-1-14,135.594315,34.835835,かかりつけ優先,,072-696-0505,ＨＰ,富田・如是・三箇牧方面
中村耳鼻咽喉科,大阪府高槻市,大阪府高槻市富田町5-24-15 1F,135.597931,34.830505,かかりつけ,,072-693-0372,来院,富田・如是・三箇牧方面
富田町病院,大阪府高槻市,大阪府高槻市富田町6-10-1,135.594482,34.828655,一般,16歳以上,072-696-7754,ＨＰ,富田・如是・三箇牧方面
たむらクリニック,大阪府高槻市,大阪府高槻市桜ヶ丘南町23-5,135.598511,34.835842,かかりつけ優先,,072-692-5391,市で,富田・如是・三箇牧方面
末吉クリニック,大阪府高槻市,大阪府高槻市東五百住町3-7-20,135.60025,34.837391,一般,,072-696-0048,電話,富田・如是・三箇牧方面
坂谷クリニック,大阪府高槻市,大阪府高槻市津之江町1-44-3,135.608551,34.83979,かかりつけ優先,,072-670-0155,電話,富田・如是・三箇牧方面
川口医院,大阪府高槻市,大阪府高槻市津之江町1-50-1,135.605942,34.838669,かかりつけ優先,,072-672-8686,電話,富田・如是・三箇牧方面
西﨑クリニック,大阪府高槻市,大阪府高槻市如是町21-12,135.605118,34.832817,かかりつけ優先,,072-696-2291,電話,富田・如是・三箇牧方面
川口内科,大阪府高槻市,大阪府高槻市寿町3-38-21,135.602951,34.828701,一般,,072-693-0633,来院,富田・如是・三箇牧方面
白藤藤原診療所,大阪府高槻市,大阪府高槻市栄町1-10-12,135.596939,34.827801,かかりつけ,,072-692-6577,来院,富田・如是・三箇牧方面
高槻南仁寿会診療所,大阪府高槻市,大阪府高槻市栄町2-19-10 1F･2Ｆ,135.603088,34.828423,一般,,072-692-4700,電話,富田・如是・三箇牧方面
津久田医院,大阪府高槻市,大阪府高槻市栄町3-7-18,135.598999,34.826347,一般,,072-692-2266,来院,富田・如是・三箇牧方面
末光・稲毛クリニック,大阪府高槻市,大阪府高槻市柳川町1-17-10,135.590393,34.824242,かかりつけ優先,,072-696-2709,来院,富田・如是・三箇牧方面
西野医院,大阪府高槻市,大阪府高槻市柳川町2-14-21,135.591827,34.822311,かかりつけ優先,,072-696-1212,来院,富田・如是・三箇牧方面
北摂総合病院,大阪府高槻市,大阪府高槻市北柳川町6-24,135.592133,34.82663,かかりつけ,,072-696-2121,ＨＰ,富田・如是・三箇牧方面
鄭クリニック,大阪府高槻市,大阪府高槻市北柳川町15-22,135.590973,34.826775,かかりつけ,,072-695-8015,電話・ＨＰ,富田・如是・三箇牧方面
小林診療所,大阪府高槻市,大阪府高槻市昭和台町2-28-17,135.586884,34.826107,一般,,072-696-0307,来院,富田・如是・三箇牧方面
りょうクリニック,大阪府高槻市,大阪府高槻市川添2-2-21,135.605331,34.823055,一般,,072-696-3010,来院,富田・如是・三箇牧方面
もりた内科・胃腸内科,大阪府高槻市,大阪府高槻市川添2-15-8,135.605423,34.825439,かかりつけ優先,16歳以上,072-669-7676,電話・来院,富田・如是・三箇牧方面
下谷内科,大阪府高槻市,大阪府高槻市川添2-23-7,135.604156,34.823467,一般,18歳以上,072-695-1266,電話・ＨＰ・来院,富田・如是・三箇牧方面
おぎはらこども医院,大阪府高槻市,大阪府高槻市川添2-26-1,135.604294,34.822651,かかりつけ,60歳未満,072-690-1022,電話,富田・如是・三箇牧方面
三田村整形外科,大阪府高槻市,大阪府高槻市川添2-27-3,135.603394,34.82275,かかりつけ優先,20歳以上,072-692-8055,来院,富田・如是・三箇牧方面
おかざき内科クリニック,大阪府高槻市,大阪府高槻市芝生町1-1-12,135.612015,34.82872,かかりつけ優先,,072-679-3501,電話,富田・如是・三箇牧方面
入野内科,大阪府高槻市,大阪府高槻市玉川4-2-1,135.600937,34.811954,かかりつけ優先,20歳以上,072-678-5884,電話,富田・如是・三箇牧方面
ひとみクリニック,大阪府高槻市,大阪府高槻市柱本5-30-1,135.60318,34.792782,一般,,072-678-7331,市で,富田・如是・三箇牧方面
いさか脳神経クリニック,大阪府高槻市,大阪府高槻市芥川町1-10-3 2F,135.616394,34.852932,かかりつけ優先,,072-683-8213,ＨＰ,芥川方面
まつい血管内科・静脈瘤クリニック,大阪府高槻市,大阪府高槻市芥川町1-11-2 3F,135.615829,34.852829,一般,,072-686-6000,電話,芥川方面
白石クリニック整形外科・内科・消化器内科,大阪府高槻市,大阪府高槻市芥川町1-13-14,135.616226,34.853622,かかりつけ優先,,072-669-7701,来院,芥川方面
天神田中内科クリニック,大阪府高槻市,大阪府高槻市芥川町1-15-23,135.617432,34.853954,かかりつけ,,072-690-7833,ＨＰ,芥川方面
しんあい病院,大阪府高槻市,大阪府高槻市芥川町2-3-5,135.613892,34.850857,かかりつけ,,072-681-5533,電話,芥川方面
高島内科クリニック,大阪府高槻市,大阪府高槻市芥川町2-14-1 2F,135.61528,34.852898,一般,19歳以上,072-686-5522,電話,芥川方面
藤林クリニック,大阪府高槻市,大阪府高槻市芥川町3-12-33,135.611481,34.850651,一般,,072-686-3380,来院,芥川方面
たにぐち耳鼻咽喉科,大阪府高槻市,大阪府高槻市天神町1-10-1 1F,135.618729,34.854805,かかりつけ優先,,072-668-3317,市で,芥川方面
芥川きどクリニック,大阪府高槻市,大阪府高槻市真上町1-3-28,135.614777,34.855747,一般,,072-685-0161,市で,芥川方面
内科循環器内科 中山クリニック,大阪府高槻市,大阪府高槻市真上町2-6-11 1F,135.609909,34.856689,かかりつけ,,072-648-3211,電話,芥川方面
みどりヶ丘病院,大阪府高槻市,大阪府高槻市真上町3-13-1,135.605118,34.859821,一般,19歳以上,072-681-5717,市で,芥川方面
村上ペインクリニック・外科,大阪府高槻市,大阪府高槻市真上町6-30-2,135.610626,34.868198,かかりつけ優先,,072-688-0011,ＨＰ,芥川方面
とりい内科クリニック,大阪府高槻市,大阪府高槻市大蔵司2-53-1,135.598495,34.863499,かかりつけ,,072-669-8378,ＨＰ,芥川方面
中村整形外科,大阪府高槻市,大阪府高槻市大蔵司2-53-8,135.598495,34.863499,一般,,072-687-6796,電話・来院,芥川方面
ナカムラこどもクリニック,大阪府高槻市,大阪府高槻市塚脇1-10-3,135.596527,34.871323,一般,,072-687-3591,電話,芥川方面
大橋内科,大阪府高槻市,大阪府高槻市宮之川原1-5-26,135.600632,34.868866,かかりつけ,,072-687-7881,電話,芥川方面
きとうクリニック,大阪府高槻市,大阪府高槻市安岡寺町1-15-3,135.602219,34.873844,一般,,072-698-1818,電話,芥川方面
服部整形外科,大阪府高槻市,大阪府高槻市安岡寺町2-13-5,135.602753,34.875416,一般,,072-687-2800 予約専用070-1785-2900,電話,芥川方面
彦坂医院,大阪府高槻市,大阪府高槻市安岡寺町2-18-3,135.60202,34.87624,かかりつけ優先,,072-689-0676,来院,芥川方面
いいじまクリニック,大阪府高槻市,大阪府高槻市安岡寺町5-1-5,135.601685,34.880493,一般,,072-688-2578,電話,芥川方面
宗光診療所,大阪府高槻市,大阪府高槻市寺谷町38-15,135.608078,34.875477,一般,,072-687-6700,電話・来院,芥川方面
黒川医院,大阪府高槻市,大阪府高槻市日吉台1-16-1,135.617035,34.869728,かかりつけ優先,,072-687-0373,市で,芥川方面
あまの小児科,大阪府高槻市,大阪府高槻市日吉台5-6-10,135.617813,34.871353,かかりつけ優先,,072-689-5288,電話,芥川方面
松本ほがらかクリニック,大阪府高槻市,大阪府高槻市日吉台7-17-12,135.619431,34.871777,かかりつけ優先,,072-687-6525,ＨＰ,芥川方面
田泌尿器科クリニック,大阪府高槻市,大阪府高槻市古曽部町1-1-17 1F,135.619324,34.855007,かかりつけ優先,,072-682-9802,電話,芥川方面
市岡医院,大阪府高槻市,大阪府高槻市古曽部町2-24-28,135.623108,34.858559,一般,,072-682-0863,市で,芥川方面
とみた整形外科クリニック,大阪府高槻市,大阪府高槻市白梅町4-13 3F,135.618942,34.853638,一般,,080-9162-1151,電話・ＨＰ,芥川方面
かきはらみずほクリニック,大阪府高槻市,大阪府高槻市白梅町5-20-306,135.620636,34.854805,一般,,072-648-3456,市で,芥川方面
さとうクリニック,大阪府高槻市,大阪府高槻市別所新町2-15,135.625839,34.857807,かかりつけ優先,,072-691-1314,来院,芥川方面
北川クリニック,大阪府高槻市,大阪府高槻市別所新町3-19,135.626556,34.857311,かかりつけ優先,,072-686-2020,電話,芥川方面
坂本医院,大阪府高槻市,大阪府高槻市紺屋町6-19,135.619064,34.849831,一般,,072-682-3889,来院,高槻方面
大関医院,大阪府高槻市,大阪府高槻市紺屋町8-33 2F,135.618484,34.849197,一般,16歳以上,072-683-2630,市で,高槻方面
湯浅医院,大阪府高槻市,大阪府高槻市紺屋町12-25,135.618347,34.847992,かかりつけ,,072-668-6366,電話・来院,高槻方面
ながい内科クリニック,大阪府高槻市,大阪府高槻市高槻町2-11,135.621185,34.852802,一般,,072-681-8341,来院,高槻方面
藤本クリニック,大阪府高槻市,大阪府高槻市高槻町5-20,135.619904,34.851707,かかりつけ優先,,072-685-0351,電話,高槻方面
西医院,大阪府高槻市,大阪府高槻市高槻町7-22,135.620956,34.851189,一般,19歳以上,072-685-0175,ＨＰ・来院,高槻方面
堺医院,大阪府高槻市,大阪府高槻市高槻町14-7,135.620926,34.849915,かかりつけ優先,,072-685-0457,来院,高槻方面
すぎ胃腸内科クリニック,大阪府高槻市,大阪府高槻市北園町16-16 2F,135.62352,34.850357,かかりつけ,,072-684-1192,電話,高槻方面
横山医院,大阪府高槻市,大阪府高槻市城北町1-4-33,135.621033,34.847855,かかりつけ優先,,072-675-0009,電話・来院,高槻方面
かねはらクリニック,大阪府高槻市,大阪府高槻市城北町2-1-8,135.623459,34.849827,かかりつけ優先,19歳以上,072-672-6011,来院,高槻方面
もり耳鼻咽喉科クリニック,大阪府高槻市,大阪府高槻市城北町2-3‐3　2F,135.623413,34.849232,一般,,072-672-1200,市で・電話・ＨＰ・来院,高槻方面
もりもとペインクリニック,大阪府高槻市,大阪府高槻市城北町2-10-20,135.624741,34.849255,一般,,072-691-7222,市で,高槻方面
澤田医院,大阪府高槻市,大阪府高槻市城北町2-14-14,135.62233,34.848083,かかりつけ,19歳以上,072-675-1020,来院,高槻方面
岩﨑医院,大阪府高槻市,大阪府高槻市上田辺町1-30 4F,135.61702,34.850719,一般,,072-682-2075,電話,高槻方面
いなだ訪問クリニック,大阪府高槻市,大阪府高槻市中川町5-3,135.612717,34.840603,かかりつけ,,072-668-7864,電話,高槻方面
村上医院,大阪府高槻市,大阪府高槻市野見町2-56,135.620956,34.846149,一般,,072-675-1901,市で,大冠・東方面
むねみつホームメディカルクリニック,大阪府高槻市,大阪府高槻市野見町5-45,135.619034,34.844803,かかりつけ,,072-661-2100,電話,大冠・東方面
もりクリニック,大阪府高槻市,大阪府高槻市大手町3-60-101,135.622421,34.845718,一般,,072-661-8555,ＨＰ,大冠・東方面
みねはる耳鼻咽喉科,大阪府高槻市,大阪府高槻市出丸町6-39,135.617767,34.841019,かかりつけ,,072-662-3387,ＨＰ,大冠・東方面
はっとり内科・皮フ科,大阪府高槻市,大阪府高槻市庄所町2-10,135.615662,34.839943,かかりつけ,,072-661-5007,来院,大冠・東方面
やまの内科・胃腸内科クリニック,大阪府高槻市,大阪府高槻市庄所町3-20,135.614899,34.839981,一般,20歳以上,072-668-7033,電話,大冠・東方面
森田内科・胃腸内科,大阪府高槻市,大阪府高槻市城南町2-3-1,135.622284,34.839935,かかりつけ,,072-670-1010,ＨＰ,大冠・東方面
すぎもと整形外科・麻酔科,大阪府高槻市,大阪府高槻市城南町2-46-26,135.622452,34.839149,一般,,072-672-5661,電話,大冠・東方面
まつしたクリニック,大阪府高槻市,大阪府高槻市城西町5-17-103,135.615234,34.842731,一般,,072-661-0415,電話,大冠・東方面
藤村医院,大阪府高槻市,大阪府高槻市春日町5-10,135.628586,34.839973,かかりつけ,,072-674-2518,電話,大冠・東方面
武田消化器内科,大阪府高槻市,大阪府高槻市春日町16-16,135.630066,34.837093,一般,,072-674-8188,電話・来院,大冠・東方面
吉栖外科整形外科,大阪府高槻市,大阪府高槻市松原町17-18,135.630463,34.852085,一般,19歳以上,072-671-1887,来院,大冠・東方面
藤田胃腸科病院,大阪府高槻市,大阪府高槻市松原町17-36,135.630463,34.852085,かかりつけ,20歳以上,072-671-5916,来院,大冠・東方面
渡辺婦人科,大阪府高槻市,大阪府高槻市南松原町2-1,135.626648,34.849098,かかりつけ優先,,072-675-5359,電話,大冠・東方面
永田医院,大阪府高槻市,大阪府高槻市高垣町18-5,135.636856,34.857758,かかりつけ,40歳以上,072-682-3040,来院,大冠・東方面
第一東和会病院,大阪府高槻市,大阪府高槻市宮野町2-17,135.637558,34.854046,かかりつけ,,072-671-1008,市で,大冠・東方面
島津内科クリニック,大阪府高槻市,大阪府高槻市宮野町17-1,135.636642,34.848644,一般,,072-675-3003,来院,大冠・東方面
仁寿会あけの診療所,大阪府高槻市,大阪府高槻市明野町17-1 2F・3F,135.635056,34.848045,一般,,072-648-3555,電話・来院,大冠・東方面
中島荘野クリニック,大阪府高槻市,大阪府高槻市永楽町3-11,135.633774,34.845943,一般,,072-662-7557,電話,大冠・東方面
ゆう皮フ科クリニック,大阪府高槻市,大阪府高槻市藤の里町4-22,135.630722,34.844963,かかりつけ,19歳以上,072-672-8585,ＨＰ,大冠・東方面
しもむら内科クリニック,大阪府高槻市,大阪府高槻市藤の里町9-5,135.631668,34.845264,一般,,072-668-3152,ＨＰ・来院,大冠・東方面
白石整形外科,大阪府高槻市,大阪府高槻市藤の里町18-26,135.629211,34.844147,一般,中学3年生（今年度15歳）以上,072-662-6006,電話・来院,大冠・東方面
高橋医院,大阪府高槻市,大阪府高槻市藤の里町24-29,135.630753,34.842819,かかりつけ,,072-661-3831,来院,大冠・東方面
さいとう内科クリニック,大阪府高槻市,大阪府高槻市西冠1-12-8 1F,135.621109,34.833717,一般,,072-676-7666,ＨＰ,大冠・東方面
しらかわ・いもとクリニック,大阪府高槻市,大阪府高槻市西冠3-12-17,135.621582,34.83112,かかりつけ,,072-670-6780,電話・来院,大冠・東方面
ひとら内科クリニック,大阪府高槻市,大阪府高槻市西冠3-29-7 1F,135.622467,34.832462,一般,20歳以上,072-671-1700,来院,大冠・東方面
西冠いちはら耳鼻咽喉科皮フ科,大阪府高槻市,大阪府高槻市西冠3-30-1 1F,135.623215,34.833084,一般,,072-669-8741,市で,大冠・東方面
中谷医院,大阪府高槻市,大阪府高槻市登町16-5,135.622055,34.828682,一般,中学校卒業以上,072-671-2016,来院,大冠・東方面
うえだ下田部病院,大阪府高槻市,大阪府高槻市登町33-1,135.619446,34.824062,かかりつけ,,072-673-7722,電話,大冠・東方面
つじ・クリニック,大阪府高槻市,大阪府高槻市辻子2-23-1,135.633194,34.833416,かかりつけ,,072-675-3237,電話・来院,大冠・東方面
東山産婦人科・小児科,大阪府高槻市,大阪府高槻市辻子3-10-3,135.630417,34.829464,一般,,072-672-5335,電話,大冠・東方面
星のクリニック,大阪府高槻市,大阪府高槻市松川町25-5,135.630936,34.835972,かかりつけ,,072-662-8121,来院,大冠・東方面
藤原医院,大阪府高槻市,大阪府高槻市大塚町5-5-4,135.631729,34.822601,かかりつけ,,072-671-5935,電話,大冠・東方面
第二東和会病院,大阪府高槻市,大阪府高槻市大塚町5-20-3,135.630722,34.821728,かかりつけ優先,16歳以上,072-674-1008,市で,大冠・東方面
おかだクリニック,大阪府高槻市,大阪府高槻市東和町56-2,135.638596,34.830791,一般,,072-676-1145,電話,大冠・東方面
横井整形外科医院,大阪府高槻市,大阪府高槻市上牧南駅前町5-8,135.660843,34.869595,一般,,072-669-4913,ＨＰ,大冠・東方面
上牧かねはらクリニック,大阪府高槻市,大阪府高槻市神内2-8‐27,135.659927,34.87373,かかりつけ優先,19歳以上,072-684-8008,来院,大冠・東方面
やすだクリニック,大阪府高槻市,大阪府高槻市神内2-25-3,135.660721,34.87241,かかりつけ優先,,072-684-8400,ＨＰ,大冠・東方面
あたご耳鼻咽喉科,大阪府高槻市,大阪府高槻市神内2-28-5,135.660126,34.872784,かかりつけ優先,,072-682-4133,ＨＰ,大冠・東方面
青野内科クリニック,大阪府高槻市,大阪府高槻市神内2-28-13 2F,135.660126,34.872784,一般,15歳以上65歳未満,072-686-3111,市で,大冠・東方面
藤井内科医院,大阪府高槻市,大阪府高槻市東上牧2-13-5,135.665009,34.867348,かかりつけ,,072-660-2575,来院,大冠・東方面
