facility_name,address,ward_name,lng,lat,reception
林　　内　　科,大阪府吹田市広芝町１０ー４０ー３F,大阪府吹田市,135.497589,34.756805,6388-1114
甲聖会紀念病院,大阪府吹田市江の木町７ー１,大阪府吹田市,135.49353,34.757362,090-8535-1191 090-6553-1191
井　上　病　院,大阪府吹田市江の木町１６ー１７,大阪府吹田市,135.495407,34.755386,6385-8651
すずき内科クリニック,大阪府吹田市垂水町１ー２ー１９ー１F,大阪府吹田市,135.508499,34.764198,6368-8511
中　嶋　医　院,大阪府吹田市垂水町２ー４ー９,大阪府吹田市,135.506973,34.763477,6384-5067
大　和　病　院,大阪府吹田市吹田市垂水町３ー２２ー１,大阪府吹田市,135.537476,34.76659,090-7112-5160
にしの小児科,大阪府吹田市垂水町３ー２３ー５,大阪府吹田市,135.501343,34.760586,7504-6578
しものクリニック,大阪府吹田市江坂町１ー１０ー１２,大阪府吹田市,135.499435,34.762371,6330-8686
三　谷　医　院,大阪府吹田市江坂町３ー１８ー５,大阪府吹田市,135.493988,34.765247,6384-7806
ももはらクリニック,大阪府吹田市江坂町５ー１５ー１４ー１F,大阪府吹田市,135.497162,34.769451,6330-5110
リー耳鼻咽喉科,大阪府吹田市五月が丘北２５ー４０ー２F,大阪府吹田市,135.525024,34.787037,6878-3304
片山小児科,大阪府吹田市五月が丘南８ー１０ー１F,大阪府吹田市,135.521698,34.785557,6388-3123
とわたクリニック,大阪府吹田市佐井寺南が丘８ー11ー1F,大阪府吹田市,135.516205,34.779907,6339-9977
あみおかクリニック,大阪府吹田市佐井寺３ー２１ー１２ー１F,大阪府吹田市,135.514908,34.786037,6190-8801
さたけ内科クリニック,大阪府吹田市佐井寺４ー１１ー１６ー１F,大阪府吹田市,135.514359,34.783607,6821-5640
林クリニック,大阪府吹田市千里山東２ー１５ー２４,大阪府吹田市,135.509262,34.777714,6338-2455
相馬診療所,大阪府吹田市千里山東２ー２６ー１６,大阪府吹田市,135.50737,34.778679,6388-1902
松　浦　医　院,大阪府吹田市千里山東２ー２７ー１１,大阪府吹田市,135.506378,34.778469,6389-8811
整形外科おがたクリニック,大阪府吹田市千里山霧が丘９ー１ー３F,大阪府吹田市,135.506271,34.78093,6384-5581
末　廣　医　院,大阪府吹田市千里山西４ー９ー２３,大阪府吹田市,135.503494,34.778717,6384-0732
はたクリニック,大阪府吹田市千里山西５ー１ー１ー２F,大阪府吹田市,135.505188,34.779526,6193-0770
増田内科クリニック,大阪府吹田市千里山西６ー５６ー２ー１F,大阪府吹田市,135.50563,34.78595,6190-6401
内科吉田クリニック,大阪府吹田市千里丘上８ー２３ー１F,大阪府吹田市,135.551544,34.79707,6878-3860
のざきクリニック,大阪府吹田市千里丘下２１ー１２,大阪府吹田市,135.550797,34.793846,7494-1033
吹田徳洲会病院,大阪府吹田市千里丘西２１ー１,大阪府吹田市,135.541901,34.798321,6878-1110
はしもと内科消化器内科クリニック,大阪府吹田市長野東７ー２４,大阪府吹田市,135.543365,34.79047,6318-5597
みき内科小児科,大阪府吹田市長野東１３ー１,大阪府吹田市,135.54425,34.791435,4864-8787
川　西　医　院,大阪府吹田市山田東２ー１３ー２０,大阪府吹田市,135.527649,34.798641,6877-0024
辻井診療所,大阪府吹田市山田南２９ー４ー１F,大阪府吹田市,135.537003,34.790112,6877-8881
向井診療所,大阪府吹田市山田南３０ー８ー１F,大阪府吹田市,135.537659,34.790829,6875-2664
高田クリニック,大阪府吹田市山田西１ー２６ー１５ー１F,大阪府吹田市,135.529282,34.790756,6876-0217
占部クリニック,大阪府吹田市山田西１ー３７ー１１ー１F,大阪府吹田市,135.525497,34.790371,6876-9772
ふじわら耳鼻咽喉科,大阪府吹田市山田西２ー４ーＡ１ー１F,大阪府吹田市,135.528076,34.794292,6878-1133
南　原　医　院,大阪府吹田市山田西２ー９ー３,大阪府吹田市,135.524414,34.796623,6876-6684
京　谷　医　院,大阪府吹田市山田西４ー２ー１８ー１F,大阪府吹田市,135.516647,34.805157,6875-3500
ぬのでクリニック,大阪府吹田市山田西４ー２ー７０ー１F,大阪府吹田市,135.516647,34.805157,6816-1016
前中整形外科クリニック,大阪府吹田市山田西４ー４ー２６ー２F,大阪府吹田市,135.518494,34.805058,6875-6464
あい内視鏡クリニック,大阪府吹田市山田西４ー１ー３５ー２F,大阪府吹田市,135.515244,34.804226,6310-2424
髙津診療所,大阪府吹田市桃山台２ー５ー１３,大阪府吹田市,135.501755,34.792896,6835-2623
松本耳鼻咽喉クリニック,大阪府吹田市桃山台２ー５ー１８ー１F,大阪府吹田市,135.501755,34.792896,6835-1117
ふくだ内科小児科,大阪府吹田市桃山台５ー２ー２ー３F,大阪府吹田市,135.495483,34.792252,6836-0211
宇田ﾚﾃﾞｨ-ｽｸﾘﾆｯｸ,大阪府吹田市桃山台５ー２ー３ー３F,大阪府吹田市,135.495483,34.792252,6833-0558
にいのぶクリニック,大阪府吹田市津雲台１ー１ー４ー２F,大阪府吹田市,135.510178,34.79488,6836-0020
宮　下　医　院,大阪府吹田市津雲台１ー１ー２ー３F,大阪府吹田市,135.510178,34.79488,6834-3333
岡島内科クリニック,大阪府吹田市津雲台１ー２ーＤ９ー２F,大阪府吹田市,135.508316,34.794083,6836-6262
野中内科クリニック,大阪府吹田市津雲台５ー１９ー１８ー３F,大阪府吹田市,135.51445,34.803959,4863-4107
市森クリニック,大阪府吹田市津雲台５ー１７ー４６,大阪府吹田市,135.512772,34.804131,6310-1234
おかもと頭痛めまいクリニック,大阪府吹田市津雲台５ー１１ー１ー１ー３F,大阪府吹田市,135.513718,34.803223,6831-3916
のぎ内科医院,大阪府吹田市竹見台２ー７ー７,大阪府吹田市,135.50116,34.797237,6871-3801
おひさまファミリークリニック,大阪府吹田市竹見台４ー２ー１ー２F,大阪府吹田市,135.499786,34.795685,6310-0411
えちごクリニック,大阪府吹田市藤白台４ー３３ー１２,大阪府吹田市,135.514954,34.822887,6832-1230
田中内科クリニック,大阪府吹田市古江台２ー４ー１０,大阪府吹田市,135.508728,34.814453,6836-6161
谷クリニック,大阪府吹田市古江台２ー８ー１１,大阪府吹田市,135.507614,34.815044,6871-1237
あだちクリニック,大阪府吹田市古江台３ー１５ー１２,大阪府吹田市,135.504944,34.817741,6872-6002
前田クリニック,大阪府吹田市古江台４ー２ー３８ー２F,大阪府吹田市,135.509125,34.820385,6832-8635
さくら診療所,大阪府吹田市青山台２ー１１ー１４,大阪府吹田市,135.502136,34.820805,6835-3794
さなだ内科・消化器内科ｸﾘﾆｯｸ,大阪府吹田市青山台３ー２７ー２,大阪府吹田市,135.500916,34.824718,6155-3737
