facility_name,address,ward_name,reception,recept_as,vaccine_type,lng,lat
社会福祉法人大阪暁明館　大阪暁明館病院,大阪市此花区西九条５－４－８,大阪市此花区,080-6197-0128 070-5554-3617 (月～金 10:00～15:00) ※ただし祝日除く,かかりつけ,ファイザー,135.4654936,34.68437184
やまさきクリニック,大阪市此花区四貫島１－９－１０ セントラルプラザ２Ｆ,大阪市此花区,06-6462-1212,かかりつけ,ファイザー,135.4563506,34.68464657
医療法人　日野医院,大阪市此花区高見２－１３－３,大阪市此花区,06-6463-1468,かかりつけ,ファイザー,135.4553597,34.68961873
公益財団法人淀川勤労者厚生協会附属　伝法高見診療所,大阪市此花区高見２－５－９,大阪市此花区,,かかりつけ,ファイザー,135.4569148,34.69036256
よねだ内科・皮フ科,大阪市此花区西九条４－３－３４ セントメディックビル３階,大阪市此花区,06-6466-1001,かかりつけ,ファイザー,135.4650434,34.68291023
医療法人医方会　奥見診療所,大阪市此花区伝法６―３―２―１０１,大阪市此花区,06-6468-9589,一般,ファイザー,135.4495972,34.68673236
医療法人　藤井内科医院,大阪市此花区西九条１―３４―１９,大阪市此花区,06-6462-1913,一般,ファイザー,135.4671088,34.68173696
医療法人小山医院,大阪市此花区春日出中2-16-23,大阪市此花区,080-5786-4941 06-6461-2680,一般,ファイザー,135.4505252,34.68065869
医療法人寛友会　菊守耳鼻咽喉科,大阪市此花区四貫島１―９―１０ セントラルプラザ２階,大阪市此花区,06-6462-8711,一般,ファイザー,135.4563506,34.68464657
医療法人晴恵会　安田クリニック,大阪市此花区伝法２ー５ー１,大阪市此花区,06-6463-1000,一般,ファイザー,135.4569628,34.68859519
医療法人徹生会　村上内科,大阪市此花区四貫島1-1-43,大阪市此花区,080-2158-7808,一般,ファイザー,135.4585344,34.68543483
医療法人　石見医院,大阪市此花区伝法５―４―６０,大阪市此花区,06-6468-9333,一般,ファイザー,135.4505718,34.68808685
医療法人　森内科,大阪市此花区梅香３―３３―１４,大阪市此花区,06-6460-5671,一般,ファイザー,135.4584544,34.68458913
内科クリニック大西循環器科消化器科,大阪市此花区四貫島1-5-11セントビル3階,大阪市此花区,06-6464-9330,一般,ファイザー,135.4570063,34.68508158
千日前水田内科,大阪市中央区難波千日前４―２１ ＭＣビル１階,大阪市中央区,,かかりつけ,ファイザー,135.5040741,34.66437184
吉川内科,大阪市中央区南本町２―４―１０ 丸忠第２ビル２Ｆ,大阪市中央区,06-6263-1286,かかりつけ,ファイザー,135.5048258,34.6827785
大島内科医院,大阪市中央区心斎橋筋１―１―２ 心斎橋クラシック１０階,大阪市中央区,,かかりつけ,ファイザー,135.5022486,34.67477441
医療法人大織会大織診療所,大阪市中央区瓦町２―６―９ 大織健保会館２・３階,大阪市中央区,06-6226-0250,かかりつけ,ファイザー,135.5041207,34.68593786
医療法人中田クリニック,大阪市中央区北浜１―１―２１ 第２中井ビル８Ｆ,大阪市中央区,,かかりつけ,ファイザー,135.507954,34.69151128
医療法人幸生会　中林クリニック,大阪市中央区谷町６ー６ー７ 第５松屋ビル１Ｆ,大阪市中央区,,かかりつけ,ファイザー,135.516773,34.67505778
河野内科クリニック,大阪市中央区上汐二丁目１番１６号コノエビル１階,大阪市中央区,,かかりつけ,ファイザー,135.5175822,34.6684237
山口泌尿器科,大阪市中央区上汐2-1-16　コノエビル3F,大阪市中央区,06-6764-8818,かかりつけ,ファイザー,135.5175822,34.6684237
ながの内科クリニック,大阪市中央区船越町２―２―１６ ベルメゾン１０２,大阪市中央区,06-6947-5821,かかりつけ,ファイザー,135.5144445,34.68740642
医療法人橋本膠原病リウマチクリニック,大阪市中央区瓦町３―５―７ 野村不動産御堂筋ビル４階,大阪市中央区,,かかりつけ,ファイザー,135.5015806,34.68617469
うえに生協診療所,大阪市中央区玉造１―８―７,大阪市中央区,,かかりつけ,ファイザー,135.5304711,34.67521436
西沢クリニック,大阪市中央区北浜２―３―９ 入商八木ビル１Ｆ,大阪市中央区,06-4706-3900,かかりつけ,ファイザー,135.5061459,34.69119313
川端内科クリニック,大阪市中央区日本橋１―１６―１６,大阪市中央区,06-6634-0003,かかりつけ,ファイザー,135.507237,34.6666315
医療法人二天会久保こう門胃腸科クリニック,大阪市中央区南船場１―１―３ クボクリニックビル,大阪市中央区,06-6260-2577,かかりつけ,ファイザー,135.5106539,34.67693475
船場森野クリニック,大阪市中央区南久宝寺町２―１―９仙波メディカルビル3F,大阪市中央区,06-6267-6601,かかりつけ,ファイザー,135.5057748,34.67924465
医療法人藤広育生会　ふじたクリニック,大阪市中央区島之内２－１１－２０ 島之内ビル２Ｆ,大阪市中央区,06-6213-6677,かかりつけ,ファイザー,135.5072521,34.67057594
大阪リウマチ・膠原病クリニック,大阪市中央区南船場４－４－１０ 辰野心斎橋ビル５階,大阪市中央区,,かかりつけ,ファイザー,135.4997305,34.67535568
AMA Clinic 淡路町院,大阪市中央区淡路町3-2-13 ZeLKOVA QUATTRO 3F,大阪市中央区,06-4963-3473,かかりつけ,ファイザー,135.5035375,34.6866703
医療法人　西恵会　西川婦人科内科クリニック,大阪市中央区備後町4-1-3　御堂筋三井ビル１階,大阪市中央区,,かかりつけ,ファイザー,135.5004516,34.68543732
医療法人むらのクリニック,大阪市中央区道修町４－４－１０ ＫＤＸ小林道修町ビル１階,大阪市中央区,06-6228-3232,かかりつけ,ファイザー,135.4991008,34.68865936
しもむら本町レディースクリニック,大阪市中央区本町2-3-9　JPS本町ビル8F,大阪市中央区,06-4708-8686,かかりつけ,ファイザー,135.5051259,34.6834408
本町林クリニック,大阪市中央区本町３丁目２?６本町ドリームビル1F,大阪市中央区,06-6226-8451,かかりつけ,ファイザー,135.5030344,34.68333925
医療法人京春会　いわもとクリニック,大阪市中央区南船場三丁目５番１１号心斎橋フロントビル４階,大阪市中央区,06-6484-5208,かかりつけ,ファイザー,135.5019369,34.67534839
栗山クリニック,大阪市中央区北久宝寺町２-５-５　ロベルビル２F,大阪市中央区,,かかりつけ,ファイザー,135.5043478,34.68004066
大宮診療所,大阪市中央区神崎町4-5 田中ビル1階,大阪市中央区,06-6765-5151,かかりつけ,ファイザー,135.5126176,34.67769231
浅田クリニック,大阪市中央区安土町2-4-1浅田屋メディカルビル1階,大阪市中央区,,かかりつけ,ファイザー,135.5054816,34.68474654
医療法人崇孝会　長堀分院,大阪市中央区島之内1-21-24　ファーストKビル,大阪市中央区,,かかりつけ,ファイザー,135.506432,34.673436
医療法人後藤内科クリニック,大阪市中央区谷町1-3-5,大阪市中央区,,かかりつけ,ファイザー,135.517512,34.68780129
一般財団法人大阪府結核予防会　相談診療所,大阪市中央区道修町４－６－５,大阪市中央区,06-6202-6673 (13時30分～16時30分）,一般,ファイザー,135.4986891,34.68832798
医療法人保健厚生会佐伯クリニック,大阪市中央区上本町西５―３―９,大阪市中央区,,一般,ファイザー,135.5187384,34.66650003
曲直部クリニック,大阪市中央区伏見町２―５―７ 岡田伏見町ビル２Ｆ,大阪市中央区,06-6226-4080,一般,ファイザー,135.5040325,34.68919925
岩佐診療所,大阪市中央区難波３?５?１７　北極星ビル３階,大阪市中央区,050-3304-1331,一般,ファイザー,135.5017072,34.66605703
船場センタービル白石耳鼻咽喉科,大阪市中央区船場中央２―１―４ 船場センタービル４号館４０３,大阪市中央区,06-6262-3345,一般,ファイザー,135.5055635,34.68187855
小畠クリニック,大阪市中央区東心斎橋２―５―２７ 幸田ビル３Ｆ,大阪市中央区,,一般,ファイザー,135.503645,34.67168811
医療法人政明会　春次医院,大阪市中央区博労町2-6-1,大阪市中央区,06-6245-1251,一般,ファイザー,135.5038325,34.67817046
和田医院,大阪市中央区北久宝寺町1-6-14,大阪市中央区,,一般,ファイザー,135.5074935,34.68012319
安田クリニック,大阪市中央区心斎橋筋１―４―７,大阪市中央区,06-6252-7010,一般,ファイザー,135.5022392,34.67278898
杉林内科クリニック,大阪市中央区高麗橋１―５―１１ 北浜旭ビル２階,大阪市中央区,06-6202-2212,一般,ファイザー,135.5078477,34.68956233
船場医院　大山,大阪市中央区久太郎町４―２―７,大阪市中央区,06-6251-6149,一般,ファイザー,135.4985868,34.6815896
医療法人一山十会　クリニーク大阪心斎橋,大阪市中央区南船場三丁目１２番３号心斎橋セントビル５階,大阪市中央区,06-6252-2700,一般,ファイザー,135.5013399,34.67566572
虎谷診療所,大阪市中央区高麗橋１－５－１４ メゾンドール高麗橋８０１,大阪市中央区,06-6228-1307,一般,ファイザー,135.5076289,34.68959706
医療法人　山田医院,大阪市中央区谷町６―１７―２１,大阪市中央区,,一般,ファイザー,135.5131937,34.67392693
笹岡クリニック,大阪市中央区松屋町3-23 松屋タワー 2F,大阪市中央区,06-6762-1360,一般,ファイザー,135.5120604,34.67507092
加納医院,大阪市中央区玉造１―１１―３,大阪市中央区,06-6762-3618 (9時～12時のみ）,一般,ファイザー,135.5320466,34.67590421
医療法人正有会　かただクリニック,大阪市中央区内久宝寺町３－１－１３,大阪市中央区,06-4790-6511,一般,ファイザー,135.5155954,34.67910945
水上クリニック,大阪市中央区松屋町３番２９号,大阪市中央区,06-6768-5858,一般,ファイザー,135.5124682,34.67521238
医療法人大須賀内科,大阪市中央区南船場4-11-19　心斎橋鉄田ビル3F,大阪市中央区,06-6243-5757,一般,ファイザー,135.4981586,34.67635476
かわぞえ医院,大阪市中央区糸屋町１－１－６,大阪市中央区,06-6946-8008,一般,ファイザー,135.5162855,34.68548505
じょうまえクリニック,大阪市中央区南船場1丁目9－1ワイケー南船場ビル2階,大阪市中央区,06-6210-3451,一般,ファイザー,135.5091902,34.67649785
福本医院,大阪市中央区南船場３丁目６－１９心斎橋ワダビル２Ｆ,大阪市中央区,080-5772-5652,一般,ファイザー,135.50146,34.67637056
医療法人英和会　センタークリニック,大阪市中央区徳井町1-2-11,大阪市中央区,,一般,ファイザー,135.5165436,34.68400355
しみずクリニック,大阪市中央区千日前1丁目虹のまち5-3,大阪市中央区,06-6211-4320 9:50～10:50(平日）,一般,ファイザー,135.5044303,34.66780498
安部医院,大阪市中央区久太郎町3-5-17　１０階,大阪市中央区,06-6245-6188,一般,ファイザー,135.5007974,34.68117433
勝瀬クリニック,大阪市西区九条１―１２―３,大阪市西区,06-6581-6059,かかりつけ,ファイザー,135.4763656,34.67497511
医療法人弘清会　四ツ橋診療所,大阪市西区新町１―２２―９,大阪市西区,06-6532-0148,かかりつけ,ファイザー,135.4947325,34.67637576
医療法人聖会　池澤クリニック,大阪市西区江戸堀１―１５―２７ アルテビル肥後橋２Ｆ,大阪市西区,06-6445-8810,かかりつけ,ファイザー,135.495434,34.69143232
ながお医院,大阪市西区江之子島１ー６ー５ エアフォルク阿波座ビル２階,大阪市西区,06-6447-1753,かかりつけ,ファイザー,135.485481,34.68313381
医療法人　治生会　石村クリニック,大阪市西区南堀江４ー１０ー１,大阪市西区,,かかりつけ,ファイザー,135.4855452,34.67185368
医療法人佐々木会　佐々木内科クリニック,大阪市西区九条南２―２―２１　ＮＴＴ西ビル１階,大阪市西区,06-6585-2373,かかりつけ,ファイザー,135.4746092,34.67285027
医療法人　佐々医院,大阪市西区九条３－２３－６,大阪市西区,06-6581-2070,かかりつけ,ファイザー,135.4689252,34.67749004
ほりかわ泌尿器科,大阪市西区九条南2-34-7 エルセレーノ九条1F,大阪市西区,,かかりつけ,ファイザー,135.4730468,34.67034328
医療法人　天方会　ＡＭＡ　Ｃｌｉｎｉｃ,大阪市西区西本町１－７－１９ワイダ本町ビル１階,大阪市西区,06-4391-1127,かかりつけ,ファイザー,135.4963667,34.68360352
医療法人優昌会　本城整形外科,大阪市西区境川１－１－３１　境川メディカルセンタービル２Ｆ,大阪市西区,06-6536-8011,かかりつけ,ファイザー,135.4726806,34.66953079
王内科胃腸科クリニック,大阪市西区西本町１－４－１ オリックス本町ビル２Ｆ,大阪市西区,06-6541-9896,かかりつけ,ファイザー,135.4977193,34.68265242
医療法人島野医院,大阪市西区南堀江４－４－２０ １Ｆ,大阪市西区,06-6533-0020,かかりつけ,ファイザー,135.4862199,34.67142588
