facility_name,address,ward_name,lng,lat,recept_as
産科婦人科衣笠クリニック,兵庫県尼崎市東園田町9丁目10-1,兵庫県尼崎市,135.44812,34.751022,かかりつけ
くまがいこどもクリニック,兵庫県尼崎市東園田町9丁目37-11,兵庫県尼崎市,135.445297,34.753078,
夏秋医院,兵庫県尼崎市南塚口町1丁目11-9,兵庫県尼崎市,135.413193,34.75127,かかりつけ
あらい内科医院,兵庫県尼崎市南塚口町1丁目12-23,兵庫県尼崎市,135.414368,34.751274,
小児科・内科 中野医院,兵庫県尼崎市南塚口町1丁目12-6,兵庫県尼崎市,135.414368,34.751274,
伊藤産婦人科医院,兵庫県尼崎市南塚口町1丁目7-5,兵庫県尼崎市,135.414368,34.751728,
よこた芳友クリニック,兵庫県尼崎市南塚口町2丁目21-29,兵庫県尼崎市,135.41803,34.750816,
おかもとクリニック,兵庫県尼崎市南塚口町2丁目34-9,兵庫県尼崎市,135.415497,34.749348,かかりつけ
松本整形外科,兵庫県尼崎市南塚口町2丁目35-1,兵庫県尼崎市,135.415558,34.74889,かかりつけ
高田循環器内科,兵庫県尼崎市南塚口町3丁目1-21,兵庫県尼崎市,135.419235,34.752701,
黒田医院,兵庫県尼崎市南塚口町3丁目8-15,兵庫県尼崎市,135.41922,34.751732,かかりつけ
