facility_name,address,ward_name,lng,lat,reception,recept_as
はまだ内科・消化器外科クリニック,埼玉県川口市南町2-7-3,埼玉県川口市,139.702881,35.804634,048-251-1123,どなたでも可
リボンシティクリニック,埼玉県川口市並木元町1-66,埼玉県川口市,139.71376,35.808853,048-240-1501,どなたでも可
佐藤整形外科クリニック,埼玉県川口市並木1-10-12,埼玉県川口市,139.713669,35.811035,048-253-9955,かかりつけ患者対応
佐藤小児科クリニック,埼玉県川口市並木1-10-18,埼玉県川口市,139.713669,35.811035,048-251-6618,どなたでも可
井上整形外科,埼玉県川口市並木2-7-1,埼玉県川口市,139.709061,35.817535,048-251-6330,どなたでも可
やそしま耳鼻咽喉科,埼玉県川口市並木3-3-24,埼玉県川口市,139.706726,35.81741,048-240-3387,かかりつけ患者対応
ウメヅ医院,埼玉県川口市並木3-9-7,埼玉県川口市,139.705536,35.817127,,どなたでも可
かがやきクリニック川口,埼玉県川口市並木3-17-27-101,埼玉県川口市,139.703262,35.818157,048-299-9095,かかりつけ患者対応
川口並木クリニック,埼玉県川口市並木3-34-17,埼玉県川口市,139.707031,35.818813,048-253-3994,かかりつけ患者優先
※状況によりどなたでも可にする予定,埼玉県川口市,埼玉県川口市,139.72377,35.80727,,
齋藤記念病院,埼玉県川口市並木4-6-6,埼玉県川口市,139.707855,35.820522,048-252-8762,どなたでも可
川口工業病院 乳腺外科診療所,埼玉県川口市青木1-18-21,埼玉県川口市,139.730835,35.804085,,どなたでも可
さとうレディースクリニック,埼玉県川口市青木1-5-25,埼玉県川口市,139.725464,35.805981,,かかりつけ患者対応
ふじクリニック,埼玉県川口市青木2-5-5,埼玉県川口市,139.725983,35.80801,048-240-0071,どなたでも可
寺田医院,埼玉県川口市青木3-3-23,埼玉県川口市,139.723083,35.812744,048-252-3885,かかりつけ患者優先
柳田産婦人科医院,埼玉県川口市青木4-5-34,埼玉県川口市,139.722565,35.815624,048-252-2678,かかりつけ患者優先
さくらキッズクリニック,埼玉県川口市中青木2-15-34-101,埼玉県川口市,139.720123,35.811249,048-257-5211,かかりつけ患者対応
はしもと内科クリニック,埼玉県川口市中青木2-15-34-302,埼玉県川口市,139.720123,35.811249,080-7575-4108,かかりつけ患者対応
小坂医院,埼玉県川口市中青木2-23-30,埼玉県川口市,139.722015,35.812592,048-255-0678,どなたでも可
さいわい診療所,埼玉県川口市中青木4-1-20,埼玉県川口市,139.716095,35.815918,070-7514-6650,かかりつけ患者対応
青木医院,埼玉県川口市西青木1-11-33,埼玉県川口市,139.712921,35.814621,,かかりつけ患者対応
倉澤医院,埼玉県川口市西青木1-12-13,埼玉県川口市,139.711853,35.815002,,かかりつけ患者対応
きむら内科外科クリニック,埼玉県川口市西青木1-21-19,埼玉県川口市,139.710205,35.814854,048-291-8560,かかりつけ患者対応
寿康会病院,埼玉県川口市西青木2-15-10,埼玉県川口市,139.715195,35.816067,048-251-2050,どなたでも可
井上医院,埼玉県川口市西青木3-10-24,埼玉県川口市,139.713562,35.819462,048-251-7288,かかりつけ患者対応
有田内科医院,埼玉県川口市上青木西3-11-17,埼玉県川口市,139.715698,35.826565,,かかりつけ患者対応
清水医院,埼玉県川口市上青木1-20-3,埼玉県川口市,139.720444,35.821568,048-253-0191,どなたでも可
ひろ小児科ファミリークリニック,埼玉県川口市上青木3-3-1,埼玉県川口市,139.717834,35.828476,048-266-1155,かかりつけ患者優先
埼玉あきみつクリニック,埼玉県川口市上青木3-3-25,埼玉県川口市,139.717834,35.828476,048-424-5778,かかりつけ患者優先
上靑木中央醫院,埼玉県川口市上青木4-2-6,埼玉県川口市,139.718384,35.830711,048-267-2218,かかりつけ患者対応
上青木もりクリニック,埼玉県川口市上青木6-14-10,埼玉県川口市,139.720062,35.834133,048-423-6761,かかりつけ患者対応
新谷医院,埼玉県川口市本前川1-19-22,埼玉県川口市,139.705551,35.840416,048-265-5578,かかりつけ患者優先
田中医院,埼玉県川口市朝日1-9-20,埼玉県川口市,139.734314,35.808235,048-222-5593,どなたでも可
村中医院,埼玉県川口市朝日3-15-21,埼玉県川口市,139.738342,35.810978,048-224-1511,どなたでも可
朝日中央診療所,埼玉県川口市末広3-2-3,埼玉県川口市,139.741257,35.808331,048-222-3032,どなたでも可
ごん耳鼻咽喉科クリニック,埼玉県川口市末広3-18-21,埼玉県川口市,139.74501,35.803169,048-226-7878,どなたでも可
新井町内科消化器クリニック,埼玉県川口市新井町16－1,埼玉県川口市,139.739395,35.801674,048-222-0700,どなたでも可
川口第一クリニック,埼玉県川口市元郷2-15-3,埼玉県川口市,139.730286,35.797112,048-225-3800,かかりつけ患者対応
元郷医院,埼玉県川口市元郷6-11-15,埼玉県川口市,139.744827,35.799877,048-222-2426,どなたでも可
めぐみクリニック,埼玉県川口市弥平2-18-8,埼玉県川口市,139.751602,35.801125,048-224-1600,どなたでも可
ひふみクリニック,埼玉県川口市東領家3-7-12,埼玉県川口市,139.752365,35.794155,048-420-9511,かかりつけ患者対応
吉津内科クリニック,埼玉県川口市領家1-1-11,埼玉県川口市,139.738983,35.79612,048-223-5628,どなたでも可
鹿嶋医院,埼玉県川口市領家1-23-15,埼玉県川口市,139.74469,35.795956,,かかりつけ患者対応
川口領家循環器内科クリニック,埼玉県川口市領家1-24-4 2階,埼玉県川口市,139.745575,35.795795,048-242-5462,かかりつけ患者対応
河合病院,埼玉県川口市領家3-6-7,埼玉県川口市,139.747696,35.793835,048-222-0190,どなたでも可
新郷中央診療所,埼玉県川口市東本郷937-7,埼玉県川口市,139.766556,35.826405,,かかりつけ患者対応
武南病院附属クリニック,埼玉県川口市東本郷1432,埼玉県川口市,139.760529,35.826672,,どなたでも可
武南病院,埼玉県川口市東本郷2026,埼玉県川口市,139.758301,35.82843,048-284-2811,どなたでも可
保木診療所,埼玉県川口市峯256-7,埼玉県川口市,139.779205,35.831665,048-295-3332,どなたでも可
はえまつ内科・外科クリニック,埼玉県川口市榛松1-1-5,埼玉県川口市,139.770737,35.818962,048-288-8600,かかりつけ患者対応
氷室医院,埼玉県川口市榛松2-6-8,埼玉県川口市,139.775208,35.823223,048-284-0212,かかりつけ患者対応
川口誠和病院,埼玉県川口市江戸3-35-46,埼玉県川口市,139.755737,35.819641,048-285-0661,かかりつけ患者対応
鹿島診療所,埼玉県川口市安行領根岸904-1,埼玉県川口市,139.710022,35.850414,070-5073-3093,かかりつけ患者対応
田山医院,埼玉県川口市安行領根岸1411-3,埼玉県川口市,139.713425,35.844948,048-281-3866,かかりつけ患者対応
根岸台診療所,埼玉県川口市安行領根岸2087-2,埼玉県川口市,139.720047,35.841022,048-281-1918,かかりつけ患者対応
慈孝内科外科クリニック,埼玉県川口市安行領根岸2721-7,埼玉県川口市,139.720367,35.83989,048-284-1111,どなたでも可
みらいメディカルクリニック川口中央,埼玉県川口市道合924,埼玉県川口市,139.722748,35.850319,048-281-4191,どなたでも可
川口さくらクリニック,埼玉県川口市神戸258-2,埼玉県川口市,139.724884,35.85297,,どなたでも可
植村内科クリニック,埼玉県川口市源左衛門新田224-1,埼玉県川口市,139.729492,35.861526,048-229-0188,どなたでも可
リハビリテーションクリニック杜,埼玉県川口市赤芝新田10-1,埼玉県川口市,139.75087,35.851528,048-295-1258,かかりつけ患者対応
新井宿駅前内科クリニック,埼玉県川口市新井宿40-2,埼玉県川口市,139.739029,35.842777,048-287-3392,かかりつけ患者優先
沢近医院,埼玉県川口市北園町46-11,埼玉県川口市,139.706802,35.856762,048-261-8649,かかりつけ患者優先
小谷場クリニック,埼玉県川口市小谷場410-1,埼玉県川口市,139.68129,35.844524,048-268-9298,どなたでも可
増渕ファミリークリニック,埼玉県川口市芝3-16-20,埼玉県川口市,139.697159,35.833878,048-487-7701,かかりつけ患者対応
目時医院,埼玉県川口市芝5-2-1,埼玉県川口市,139.691162,35.831097,,かかりつけ患者対応
今野整形外科,埼玉県川口市芝3901,埼玉県川口市,139.692993,35.836319,,かかりつけ患者対応
田近医院,埼玉県川口市芝中田1-26-21,埼玉県川口市,139.699356,35.82988,048-265-1974,かかりつけ患者対応
下条医院,埼玉県川口市芝中田1-30-8,埼玉県川口市,139.699234,35.83075,048-266-1134,どなたでも可
益子病院,埼玉県川口市芝中田2-48-6,埼玉県川口市,139.706009,35.827847,048-267-7611,どなたでも可
ひらた内科・在宅クリニック,埼玉県川口市芝下1-12-3-100,埼玉県川口市,139.700546,35.837315,048-471-9997,どなたでも可
蕨中央医院,埼玉県川口市芝新町4-7,埼玉県川口市,139.691803,35.829372,048-265-3311,どなたでも可
新井整形外科,埼玉県川口市芝樋ノ爪1-6-27,埼玉県川口市,139.689682,35.82975,048-266-5532,どなたでも可
益子整形外科,埼玉県川口市芝高木1-6-24,埼玉県川口市,139.698029,35.841812,048-264-5505,かかりつけ患者優先
だてクリニック,埼玉県川口市芝高木1-7-8,埼玉県川口市,139.699753,35.842281,,かかりつけ患者対応
川口ハートクリニック内科,埼玉県川口市芝宮根町4-10,埼玉県川口市,139.698227,35.838734,048-264-2801,かかりつけ患者対応
芝西医院,埼玉県川口市芝西2-30-6,埼玉県川口市,139.687057,35.842888,048-424-2898,かかりつけ患者対応
目時クリニック,埼玉県川口市柳崎1-29-7,埼玉県川口市,139.700348,35.854156,048-261-5777,どなたでも可
青木中央クリニック,埼玉県川口市柳崎3-7-24,埼玉県川口市,139.697464,35.852848,,かかりつけ患者対応
東浦和耳鼻咽喉科,埼玉県川口市柳崎4-28-32,埼玉県川口市,139.702377,35.860756,048-268-2671,どなたでも可
東浦和内科外科クリニック,埼玉県川口市柳崎4-28-32,埼玉県川口市,139.702377,35.860756,048-487-7755,
芝中央医院,埼玉県川口市柳根町5－14,埼玉県川口市,139.70462,35.85144,,かかりつけ患者対応
安行メディカルクリニック,埼玉県川口市安行藤八418,埼玉県川口市,139.761642,35.856709,,かかりつけ患者対応
東川口病院,埼玉県川口市東川口2-10-8,埼玉県川口市,139.747467,35.877266,,どなたでも可
ゆたかクリニック東川口駅前,埼玉県川口市東川口3-1-15 1階,埼玉県川口市,139.744492,35.876911,048-297-1111,どなたでも可
北村医院,埼玉県川口市東川口4-19-12,埼玉県川口市,139.743484,35.879986,,かかりつけ患者対応
スマイル内科小児科クリニック,埼玉県川口市戸塚1-5-30 2階,埼玉県川口市,139.744339,35.871021,048-297-8210,かかりつけ患者対応
厚川医院,埼玉県川口市戸塚2-4-10,埼玉県川口市,139.745071,35.871044,048-295-2800,かかりつけ患者対応
埼友川口クリニック,埼玉県川口市戸塚東3-3-18,埼玉県川口市,139.753906,35.866722,,かかりつけ患者対応
小林医院,埼玉県川口市戸塚東3-6-8,埼玉県川口市,139.755295,35.866661,,かかりつけ患者対応
まの内科胃腸科クリニック,埼玉県川口市戸塚東4-26-30,埼玉県川口市,139.760056,35.870499,048-290-8778,かかりつけ患者対応
健クリニック,埼玉県川口市坂下町1-8-16 1階,埼玉県川口市,139.736191,35.832146,048-288-1023,かかりつけ患者対応
白石内科小児科医院,埼玉県川口市坂下町１-12-６,埼玉県川口市,139.737717,35.830597,048-281-1369,かかりつけ患者対応
須田医院,埼玉県川口市坂下町4-7-4,埼玉県川口市,139.739105,35.827473,048-281-2526,どなたでも可
はとがや病院,埼玉県川口市坂下町4-16-26,埼玉県川口市,139.738464,35.825756,048-282-1890,かかりつけ患者対応
小谷野医院,埼玉県川口市桜町2-5-19,埼玉県川口市,139.738693,35.838512,,かかりつけ患者対応
鳩ヶ谷中央病院,埼玉県川口市桜町6-12-55,埼玉県川口市,139.743881,35.837841,048-281-6131,かかりつけ患者優先
やじまトータルケアクリニック,埼玉県川口市里372 2階,埼玉県川口市,139.729095,35.836575,,かかりつけ患者対応
鳩ヶ谷米山クリニック,埼玉県川口市里1628 3階,埼玉県川口市,139.734802,35.830654,048-288-6333,かかりつけ患者対応
しばた心身クリニック,埼玉県川口市里1625-1,埼玉県川口市,139.73497,35.831146,,かかりつけ患者対応
はとがや緑内科クリニック,埼玉県川口市辻1573-1 3階,埼玉県川口市,139.728439,35.82449,048-286-7774,かかりつけ患者対応
本町クリニック,埼玉県川口市鳩ヶ谷本町2-7-6,埼玉県川口市,139.741699,35.834278,048-287-7777,かかりつけ患者対応
南はとがや泌尿器科・内科クリニック,埼玉県川口市南鳩ヶ谷1-7-1,埼玉県川口市,139.739075,35.822102,,かかりつけ患者対応
フクダクリニック,埼玉県川口市南鳩ヶ谷1-9-6,埼玉県川口市,139.738815,35.820522,048-282-7800,どなたでも可
埼玉厚生病院,埼玉県川口市南鳩ヶ谷6-5-5,埼玉県川口市,139.734985,35.817799,,かかりつけ患者対応
三ツ和診療所,埼玉県川口市南鳩ヶ谷6-8-9,埼玉県川口市,139.735443,35.81958,,かかりつけ患者対応
鳩ヶ谷第一クリニック,埼玉県川口市三ツ和1-9-27 1階,埼玉県川口市,139.740189,35.826225,048-281-5210,かかりつけ患者対応
