facility_name,address,ward_name,lng,lat,exec_start,reception,workday,remark
福田記念本宮眼科内科医院,鶴見区豊岡町１７番１９大倉ビル２階,横浜市鶴見区,139.675598,35.509331,開始済,045-581-4489,毎週金曜日午前１１時から１２時に予約電話受付,接種は毎週　月・火・水・金１３：３０～１４：３０で実施
さいわい鶴見病院,鶴見区豊岡町21番１号,横浜市鶴見区,139.67514,35.51059,開始済,070-1400-0758､070-1399-9609,平日月曜日～金曜日15：30～17：00,予約は2本の携帯番号のみです。代表番号では予約取れません
医療法人内科・小児科前広医院,鶴見区豊岡町10－7,横浜市鶴見区,139.672974,35.509132,開始済,045-571-2333,第2・4木曜日を除く平日10時～12時、15時～17時,接種は月・火・水・金・日（不定期）で行っています
矢野医院,鶴見区豊岡町13-36,横浜市鶴見区,139.673981,35.510387,開始済,070-8957-1370,木曜日を除く平日14時から16時まで,受付は仮予約です。接種日程が決まり次第にご連絡します。
千葉整形外科リウマチ科医院,鶴見区豊岡町7-7,横浜市鶴見区,139.674332,35.507938,開始済,ご来院のうえ予約　毎木曜日朝９時,毎木曜日朝９時,毎木曜日来院し予約。電話メール予約や接種日指定は不可
鶴見駅前リウマチ・内科クリニック,鶴見区豊岡町17番2号互省ビル2Ｆ,横浜市鶴見区,139.675598,35.509331,開始済,045-716-6533,月・火・水・金の16時から17時,接種は火・水16時から18時
津崎小児科,鶴見区豊岡町３８－３２　ウェスチングハウス３　１階,横浜市鶴見区,139.672394,35.513477,44383,045-583-1211,火曜日　10時～11時,接種は診療時間内となります。日時のご希望は承れません。
ハートクリニック,鶴見区豊岡町11-15　PATIO7-A101,横浜市鶴見区,139.672302,35.5093,開始済,http://www.htc1021.com,ホームページで24時間予約可能です。,接種は当院で行います。接種予約時間にご来院ください。
川端こどもクリニック,鶴見区生麦５－２１－１６,横浜市鶴見区,139.675293,35.497223,開始済,http://www.ne.jp/asahi/kawabata/kodomo-clinic/,ウェブページにて予約受付状況を公開しています,電話での予約は不可。接種日は火曜日午後２時半から３時です。
石井医院,鶴見区生麦5-8-44  ,横浜市鶴見区,139.673019,35.499184,開始済,045-501-5531,火曜日、金曜日15時～16時,
生麦病院,鶴見区生麦1-14-21,横浜市鶴見区,139.666489,35.492733,44382,045-503-1038,月曜から金曜の15時から16時30分まで,接種は月・金14時～16時、水9時～16時で実施
医療法人社団古賀クリニック,鶴見区馬場７－３０－１,横浜市鶴見区,139.645981,35.508667,開始済,070-1425-5656,平日は10時から12時、14時から１８時　土は１０時から１２時,接種は月から金１０時～１８時（１２時～１４時除く）土午前中
クリニック寺尾,鶴見区馬場4-40-12,横浜市鶴見区,139.658493,35.512604,開始済,045-571-0792,火・水・金　14：00～16：30,基礎疾患を有する方の予約は、かかりつけの方優先７/６から
松澤内科・糖尿病クリニック,鶴見区東寺尾4-16-19,横浜市鶴見区,139.66127,35.4991,開始済,http://matsuzawadmcl.com,Web予約にて24時間,お電話でのご予約は受け付けておりません
飯山医院,鶴見区東寺尾5-3-12,横浜市鶴見区,139.661026,35.501144,開始済,090-3497-0897,6/10、6/14、6/17　9：00-12：00,接種日は基本的に火、水、木、金となります。
医療法人社団優輝会こばやし内科クリニック,鶴見区東寺尾1-3-12　2階,横浜市鶴見区,139.646225,35.504147,開始済,045-834-8735,水曜日、土曜日、日曜日を除く平日15時から17時まで,接種は月、火、木、金の14：00～15：30で実施しています
北台診療所,鶴見区東寺尾北台7-8,横浜市鶴見区,139.664902,35.511539,開始済,045-581-2144,月曜・火曜・金曜　　午後3時半から6時,接種は診療時間内で実施する予定です。
めがね橋小児科,鶴見区東寺尾中台12-37,横浜市鶴見区,139.662796,35.510262,開始済,045-575-4160,平日　13:40-14:00　（木曜日を除く）,
横山皮膚科医院,鶴見区平安町１－39-5,横浜市鶴見区,139.690277,35.516205,開始済,受付窓口での直接予約,診療時間内,ワクチン接種は火曜と隔週土曜の午後三時からです
蘇内科クリニック,鶴見区本町通1-6,横浜市鶴見区,139.68161,35.503014,開始済,045-508-1871,木・土・日を除く　14：30～16：30まで,接種日は、木曜日と土曜日の午後に実施します。
うしおだ診療所,鶴見区本町通１丁目16-1,横浜市鶴見区,139.679916,35.502796,開始済,080-9748-0437,月曜日～金曜日　13時から14時,8月末まで予約が埋まっています。詳細はHPをご覧ください。
きむら記念クリニック,鶴見区向井町3-76-10,横浜市鶴見区,139.689575,35.505035,開始済,045-501-7400,水曜日を除く平日10時から12時まで,
神内科,鶴見区矢向5-9-23　健ナビメディカルモール2F,横浜市鶴見区,139.684311,35.538013,開始済,045-580-2233,月火水金。10時から12時、14時から17時,現在キャンセル待ちのみ、受付可。８月２日から新規受付予定。
矢向レディースクリニック,鶴見区矢向５－９－２３健ナビメディカルモール３F,横浜市鶴見区,139.684311,35.538013,開始済,045-633-4189,毎週月曜日　１４時～１４時半,基本は月曜日予約→木曜日接種、６月２７日（日）接種募集予定
安藤内科クリニック,鶴見区矢向5-5-15,横浜市鶴見区,139.681961,35.537758,開始済,045-573-3651,月曜日13時半～14時　休診日と接種日が休診の日を除く,接種は基本予約翌週月曜日（7/12，8/9は予約受付不可）
さくら診療所,鶴見区矢向5-4-34,横浜市鶴見区,139.683228,35.537262,開始済,来院し整理券を受け取れた方のみ予約をさせて頂きます,平日9時に不定期で予約のための整理券を配布します,情報公開時に予約人数に達した際は、ご了承ください
須田診療所,鶴見区矢向４－３３－１０,横浜市鶴見区,139.683655,35.535912,開始済,045-574-2021,水曜日を除く診療時間内（9時から13時、15時から18時）,接種は毎週水曜日になります。
藤川耳鼻咽喉科医院,鶴見区矢向4-8-7,横浜市鶴見区,139.681976,35.531494,開始済,045-573-6485,水曜日を除く平日９時から17時まで,水曜日以外の平日受け付け
秋山みつる眼科,鶴見区矢向5-9-23　健ナビメディカルモール2階,横浜市鶴見区,139.684311,35.538013,開始済,045-580-2380,祝日を除く毎日　10時30分～13時・14時30分～17時,接種は土日含め毎日行っております予約専用電話よりご予約下さい
南武クリニック,鶴見区矢向4－7－21－401,横浜市鶴見区,139.681442,35.530979,開始済,045-571-8806,月～土曜日（水曜を除く）11時から13時,
医療法人　健希会　あいはらクリニック皮フ科形成外科,鶴見区矢向5-9-23 健ナビメディカルモール3F,横浜市鶴見区,139.684311,35.538013,開始済,http://www.aihara-clinic.net/　最新情報を随時更新中,当院HPにて「必ず、ご確認」下さい,詳細は当院HP/電話不可。通常業務が中断する為、ご協力下さい
あびこ消化器内科クリニック,神奈川区青木町6-15,横浜市神奈川区,139.629913,35.470406,開始済,045-441-7701,月、火、水、金の12時～13時。,接種時間帯は「予約の電話」の際にお尋ねください。
いいじま内科クリニック,神奈川区泉町2-4-2F,横浜市神奈川区,139.622986,35.474831,開始済,045-534-8044,未定,実施についてはホームページ参照
杉田クリニック,神奈川区浦島町4-1,横浜市神奈川区,139.643646,35.483215,開始済,045-450-5550,月・火・水・金（祝日除く）の１６時から１８時３０分まで,１回目は午前中２回目は３週後午後　問診票接種券必要です
川崎耳鼻咽喉科クリニック,神奈川区大口通134-11奥村ビル2階,横浜市神奈川区,139.646042,35.491364,開始済,045-431-2152,日、木、土曜日を除く11~12時、15～16時,
くにひろクリニック,神奈川区大口通56-5大口メディカルセンター2F,横浜市神奈川区,139.644867,35.491444,開始済,070-4504-2768,木曜を除く平日15時から17時  直接来院にて予約,月火金16:00-17:30 水16:30-17:30 
たかつか内科医院,神奈川区大口通69－8,横浜市神奈川区,139.643646,35.492882,開始済,来院にて予約受付（電話不可）,医院の診療時間内,
有田内科クリニック,神奈川区大口仲町60-1,横浜市神奈川区,139.642456,35.490974,開始済,045-423-8813,月・火・木・金・土の9時から12時まで,詳細は電話にてご確認下さい。
医療法人社団久遠会　福澤クリニック,神奈川区片倉1-9-3　まるあビル1階,横浜市神奈川区,139.60318,35.484558,開始済,045-488-5123,水曜日15時～17時,接種は火・水・木12時半～14時半で実施しています
牧クリニック,神奈川区片倉1-16-10ウサミメディカルファインビル３階,横浜市神奈川区,139.604431,35.486702,８月頃,045-491-7967,土曜日9:00～12:30,接種は月・木・金で実施しています。予約時に曜日は選べません。
いまに内科クリニック,神奈川区片倉2-1-21-2F,横浜市神奈川区,139.605499,35.48925,開始済,045-488-3737,日曜、木曜を除く15時から17時　土曜日は11時から13時,接種は火・金曜日10時から12時で実施
大石レディースクリニック,神奈川区片倉2-1-21,横浜市神奈川区,139.605499,35.48925,開始済,045-481-1101,水曜14時30分～15時のみとなります。,接種は水曜日9時と15時のみとなります。
新横浜クリニック,神奈川区片倉2-40-6,横浜市神奈川区,139.602234,35.484768,開始済,045-413-1161,月・水・土曜日11時から17時まで,接種は水・土14：00～15：00で実施しています
医療法人金子内科,神奈川区片倉５-1-1,横浜市神奈川区,139.607651,35.490726,開始済,045-481-0101,15時～18時まで,接種は水14時～16時で実施予定　変更の可能性がある
長谷川医院,神奈川区神之木町9-6,横浜市神奈川区,139.648239,35.494808,開始済,http://www.paa.jp/,予約日より2日前まで,詳しくはアイチケットお知らせをご覧ください。
横浜かんだいじファミリークリニック,神奈川区神大寺1-13-46神大寺メディカルスクエア,横浜市神奈川区,139.610352,35.481873,開始済,https://yokohama-kfc-covid19.com/yoyaku-wakuchin/,平日14:00から17:00まで。,基本的に平日14:00から17:00にて接種実施中です。
神大寺ホームケアクリニック,神奈川区神大寺１－１１－１２,横浜市神奈川区,139.611938,35.481621,開始済,070-8685-9813,平日10時から12時まで,
鈴木小児科医院,神奈川区神大寺4-8-15,横浜市神奈川区,139.614929,35.487049,開始済,http://suzukids.mdja.jp/,ウェブのみ予約可能です。電話では予約できません。,電話でのお問い合わせはご遠慮頂きますようお願い致します。
医療法人桐藤会　佐藤内科診療所,神奈川区桐畑８－３,横浜市神奈川区,139.62738,35.473351,開始済,045-323-3870,月曜日～金曜日　13:00～14:00,接種日は７月２２日（木）・２３日（金）　9:00～15:30
港町診療所,神奈川区金港町7-6,横浜市神奈川区,139.626877,35.46973,開始済,www.health-kanagawa.net/covid_vaccine,水曜13時～17時webのみで受付。電話・来所ではできません,水曜昼接種。電話・来所ではご案内できません。Webでご予約を
医療法人財団俊陽会　古川病院,神奈川区子安通２－２８６,横浜市神奈川区,139.655472,35.486053,開始済,045-277-3391,月～金　14:30～16:00 窓口受付優先、電話可,接種日時：月・水・金　14:30～15:30　HP参照下さい
井関医院,神奈川区栄町6-1ヨコハマポートサイドロア弐番館1F,横浜市神奈川区,139.629684,35.468666,開始済,045-451-6864,木曜日、土曜日を除く平日９時から１０時まで,
医療法人社団　藤中整形外科,神奈川区白幡町6-19,横浜市神奈川区,139.629639,35.49184,開始済,045-433-7700,平日16時00分から17時00分まで,接種は火～金の11時30分～12時30分で実施しています。
天野医院,神奈川区白幡仲町3-34,横浜市神奈川区,139.633591,35.490395,開始済,045-433-2323,月火木金　AM11-12,
医療法人社団若梅会　さかきばらクリニック,神奈川区白幡向町6-29,横浜市神奈川区,139.633041,35.492184,開始済,045-435-1961,月～土10:00～12:00月火水金：14:30～16:30,
医療法人大恵会　仁恵病院,神奈川区新子安1-22-12,横浜市神奈川区,139.653519,35.488838,開始済,045-431-2020,木曜、土日祝祭日を除く平日16時から17時まで,お電話にてお問い合わせください。
アーチクリニック,神奈川区新子安1-33-15グリシーヌ横浜201,横浜市神奈川区,139.653015,35.490292,開始済,045-718-6539,平日　10：00～12：00　14：00～17：00,予約状況は随時変わります。必ずホームページでご確認ください。
オルト横浜クリニック,神奈川区新子安1-2-4,横浜市神奈川区,139.652786,35.487392,44384,045-438-0610,令和３年７月７日より（６．７月はすでに満員終了）,接種は水、木、金　11：00-12：00、予約満了次第終了。
さくまファミリークリニック,神奈川区新町21-8 新町第一京急ビル2階,横浜市神奈川区,139.639236,35.480541,開始済,045-440-2855,月火水金の10時から11時、16時から17時,接種は月火水金で実施予定
神奈川診療所,神奈川区新町15-6,横浜市神奈川区,139.641129,35.481537,開始済,070-3788-5351,水曜日　14時から16時まで,接種は木曜日16:00で実施（祝日除）6/20日曜臨時で実施
小川橋医院,神奈川区菅田町910-3,横浜市神奈川区,139.584015,35.500633,開始済,045-473-5531,水曜日午後・金曜日全日・祝日を除く診療時間中,
薩田内科クリニック,神奈川区菅田町2647菅田町メディカルビル1Ｆ,横浜市神奈川区,139.585815,35.498062,開始済,045-477-4022,月火水金9：00-12-00/15：00-18：00・土午前,
野村皮膚科医院,神奈川区反町4-27-14,横浜市神奈川区,139.627136,35.476269,開始済,045-290-3912,月曜日・金曜日　13時から15時まで,接種は月・金（不定期）15時～16時
よこはまにしかげ小児科アレルギー科,神奈川区台町15-1横浜西口KSビル1F,横浜市神奈川区,139.618011,35.469776,開始済,高齢者は直接来院のみ（その他一般の予約方法は検討中）,木曜日を除く平日15：00～15：30,接種は月水金15：00～15：30　火14：00～15：30、その他一般の予約方法は検討中
浜田内科,神奈川区鶴屋町２－１３－３　渡辺ビル－２F,横浜市神奈川区,139.622955,35.468563,開始済,Tel・FAX　０４５ー３２４－４１０１,月曜日から木曜日9時から18時、土曜日9時から12時30分,密をさけるため終日。月曜ー日曜　9時～13時　15時～18時
医療法人社団　能勢クリニック,神奈川区鶴屋町2-24-1 谷川ビル３階,横浜市神奈川区,139.620819,35.468582,開始済,045-312-2323,木曜日を除く平日１５時から１７時まで,
おおぐり医院,神奈川区七島町127-9,横浜市神奈川区,139.645615,35.4869,開始済,045-430-1105,月から土曜の11時から12時、月火木金曜の16時から17時,予約時にアレルギ-歴・他院受診中の有無をお伝えください。
末永クリニック,神奈川区七島町１２８,横浜市神奈川区,139.64534,35.485886,開始済,045-401-1520,水曜日を除く平日11～12、17～18時、土曜日11～12時,水曜を除く10時半～11時半、16時～17時半、土は午前のみ
ななしまクリニック,神奈川区七島町161-5,横浜市神奈川区,139.644485,35.488403,開始済,045-439-7728,診療時間30分前まで。窓口受付優先。電話可。,詳細は受付か電話にてご確認ください。
村瀬クリニック,神奈川区西神奈川1-12-7,横浜市神奈川区,139.630768,35.479507,開始済,045-320-3306,9時から12時半、14時から18時、木曜休診、土曜半日,
神奈川脳神経外科クリニック,神奈川区西神奈川1-20-7　ビューサイト２階,横浜市神奈川区,139.629791,35.482388,開始済,045-433-7773,平日９時から１８時まで、土曜日９時から１２時まで,接種は(月)(火)(水)9：30から18：00
みついわクリニック六角橋,神奈川区西神奈川３－８－２TMビル1F2F,横浜市神奈川区,139.626923,35.486153,開始済,045-947-3400,水曜日を除く平日8時30分から17時まで,12時ー15時まで受付できません。1週間毎の予約になります。
まつしま内科クリニック,神奈川区西神奈川1-5-2ナイスアーバン東神奈川1F ,横浜市神奈川区,139.631531,35.478531,開始済,045-324-3480,木曜日を除く、平日14時から15時,
にわメディカルクリニック,神奈川区西寺尾1-28-1,横浜市神奈川区,139.642975,35.503944,開始済,045-401-1237,木曜を除く平日9時から12時、15時から18時30分,電話で予約方法をご説明します。その後、予約にご来院ください
中村医院,神奈川区白楽１２１,横浜市神奈川区,139.626968,35.489487,開始済,院内の専用申込用紙で受付します,木・土を除く平日13時から17時まで,申し込み後、接種日を電話で連絡します。
横浜みなとメディカルクリニック,神奈川区橋本町２－５－１ サンシティみなとみらいEAST １階,横浜市神奈川区,139.63855,35.469982,開始済,045-440-1221,水曜日を除く平日１５時から１７時まで,接種は火・木・金１４時から１６時で実施しています
たむら内科クリニック東神奈川,神奈川区東神奈川１－１０－１ザ・ステーションタワー東神奈川1階,横浜市神奈川区,139.633194,35.477715,開始済,https://medicalpass.jp/hospitals/tamura-medicalclinic,ウェブページから24時間（20日後の予約まで可能）,電話や窓口での予約は受け付けておりません
東神奈川駅ビル　内科・泌尿器科,神奈川区東神奈川1-29　４Ｆ,横浜市神奈川区,139.633194,35.477715,開始済,045-548-3414,毎週月曜日　１１時から１２時３０分まで,接種は火・水・金の午前　接種前の金曜日までに予診票を持参
はたの東神奈川キッズクリニック,神奈川区東神奈川2－42－5－201,横浜市神奈川区,139.637253,35.478012,開始済,080-5738-8951,月、火、木、金、土曜の朝9：00から11：45,予約専用番号でのみ、ご予約をお受けしております。
ココ皮フ科,神奈川区東神奈川１-29  CIALPLAT東神奈川４F,横浜市神奈川区,139.633194,35.477715,開始済,045-548-6555,7月分のご予約は6月21日の10時から12時に電話予約のみ,接種は月・金14時～15時に実施します
いわた内科クリニック,神奈川区二ツ谷町6-3　雷鳴堂ビル2階,横浜市神奈川区,139.62999,35.477009,開始済,045-317-8166,"木,土,日,祝日除く平日10～12:00 16～17:30",受診歴のある方優先
布川内科医院,神奈川区三ツ沢上町12-20,横浜市神奈川区,139.602203,35.478058,開始済,045-321-7500,毎月第1火曜日の朝8時から15時まで翌月１ヶ月分を予約,接種は水曜日を除く平日8時~11時40分（時間予約制）、７月分は予約済のためキャンセル待ちのみ
にしかわ医院,神奈川区三ッ沢下町11-7-２階,横浜市神奈川区,139.614822,35.476734,開始済,045-290-8188,8：30～12：00　15：00～17：00　日、水は除く,接種日は予約の取れた診療日（午前、午後の指定あり）
井上医院,神奈川区三ツ沢下町10-10,横浜市神奈川区,139.613861,35.477749,開始済,045-324-2228,木曜日、土曜日を除く平日15時30分から17時まで,
赤尾内科クリニック,神奈川区三ツ沢下町11‐22,横浜市神奈川区,139.614822,35.476734,開始済,070-8685-9813,平日10時から12時まで,
まつうら小児科内科,神奈川区三ツ沢中町8-6,横浜市神奈川区,139.61087,35.476761,開始済,045-321-3171,日曜祭日を除く午前9時から11時まで,支給されたバイアルの予定数が終了時は休止
医療法人清貴会斎田医院,神奈川区六角橋１－４－３,横浜市神奈川区,139.626907,35.488281,開始済,045-432-2251,木曜日を除く14：30～17：30,接種日　火曜・金曜　14：30～17：30
はくらく耳鼻咽喉科・アレルギー科クリニック,神奈川区六角橋1－6－14－3階,横浜市神奈川区,139.627274,35.488598,開始済,045-633-1984,水曜日を除く平日9時から11時まで,接種は、月・木９～11時、月・火・木・金15～16時で実施
医療法人社団的野ウィメンズクリニック,神奈川区六角橋１－６－１４白楽メディカルセンター４階,横浜市神奈川区,139.627274,35.488598,開始済,https://www.isyadoko.net/appoint_hy/mb/attached/app_before.php?mngno=&sysno=0099:12:1&admno=,インターネット予約のみで２４時間予約（キャンセルのみ電話可）,電話予約は診療中の対応ができないのでインターネット予約のみ。
岸内科医院,神奈川区六角橋　1-24-3　橘コーポ1階,横浜市神奈川区,139.624557,35.489399,開始済,045-642-3420,診療時間内,より高齢な方からの接種を優先いたしますので御理解下さい
医療法人　若倉診療所,神奈川区六角橋６丁目30-17,横浜市神奈川区,139.619614,35.494141,44389,045-491-0567,木曜日９時から１１時３０分　月、火、水、金の１０時３０分から,基本的に月、火、水、金の午後に接種
原産科婦人科クリニック,神奈川区六角橋1-30-4,横浜市神奈川区,139.622803,35.490273,44397,080-2377-5375,木・土を除く平日13時から17時,
朝日内科クリニック,神奈川区六角橋1-6-14白楽メディカルセンター2階,横浜市神奈川区,139.627274,35.488598,開始済,予約は院内で行います。,予約は院内で行います。,接種は月・金の11：00～12：00で実施しています
医療法人恵仁会　松島クリニック,西区伊勢町３丁目１３８番地,横浜市西区,139.618408,35.454689,開始済,045-241-7311,日曜、祝日を除く、10時から11時、14時から16時,既に予約は一杯で、現在はキャンセルがあった場合のみになります
横浜整形外科クリニック,西区岡野２－５－１８,横浜市西区,139.610596,35.459362,開始済,ウェブサイト準備中,"6/13,6/20,6/27日曜日  9:00～15:30 ",今後日曜日以外でも接種日を増やしていきます。
横浜こどもクリニック,西区岡野2-5-18 サミット横浜岡野店2階,横浜市西区,139.610596,35.459362,開始済,045-548-9777,月・火・木・金・土曜日の9時から12時まで,"月火木金13:45-14:30,土15:00-17:00接種"
つるおかクリニック,西区浅間町5-378-7,横浜市西区,139.606857,35.456707,開始済,045-548-6601,休診日を除く14時半から17時まで,接種は土曜日の午後に実施しています
さいとう整形外科,西区浅間町４－３４７－４Bay West101,横浜市西区,139.606613,35.459011,開始済,045-312-6663,月曜日から土曜日　１５時から１６時まで,接種日は火・金・土１４時から１５時までに受付してください。
よこはま高島町クリニック,西区高島2丁目10-32,横浜市西区,139.622345,35.462799,開始済,045-444-1117,水曜日を除く平日15時から17時まで,
スカイビル内科,西区高島2-19-12　スカイビル21階,横浜市西区,139.625,35.464603,開始済,045-461-1603,月曜日9：30-10：00、火曜日9：30-10：00,
横濱高島診療所,西区高島2-14-11第2田浦ビル6階,横浜市西区,139.622131,35.463837,開始済,045-451-1717,木曜日を除く平日9時から15時まで（土曜日12時まで）,
岡部医院,西区中央2-19-15,横浜市西区,139.61499,35.452465,開始済,045-321-5703,月、火、金曜の16時から18時,
進藤医院,西区中央2-36-7,横浜市西区,139.613174,35.452934,開始済,予診票（主治医の接種許可をもらっていること）・接種券持参し、窓口予約のみ,9時～12時、14時30分～17時,現在キャンセル待ちのみ受付中。予約再開は夏季に院内掲示予定。
諸星クリニック,西区中央１－４－９,横浜市西区,139.617081,35.453304,44409,045-321-0261,月曜日、火曜日、木曜日の13時から15時まで,
鈴木内科クリニック,西区戸部町5-204,横浜市西区,139.623962,35.455936,開始済,045-231-3355,月～金8：30-11：30　月・水・金14：00-16：30,当院ホームページに予約可否状況をなるべく早期に掲示予定です。
渡邊醫院,西区西戸部町２－１２０,横浜市西区,139.622147,35.450642,開始済,090-4169-3728,月・水・金曜日の14：30～15：00,7月枠は残りわずか　往診（西区内）優先
西戸部こどもクリニック,西区西戸部町2-174,横浜市西区,139.619034,35.45232,開始済,045-260-1495,木曜日を除く平日13時から14時まで,接種は金曜日14：00-15：00　予約は7月30日以降
高島町しらゆり内科クリニック,西区花咲町6-143　横浜MIDベースアネックス2階,横浜市西区,139.624908,35.45657,開始済,090-8225-7703,水曜日を除く平日13時15分から14時45分まで,クリニックの代表電話からは予約ができません。
